Rank,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
974,need-for-speed-undercover,Racing,T,PS3,Electronic Arts,EA Vancouver,5.9,1.6900000000000002,0.63,1.01,0.05,0.38
975,need-for-speed-prostreet,Racing,E10,X360,Electronic Arts,EA Black Box,7.1,1.84,1.04,0.79,0.01,0.21
977,mortal-kombat-vs-dc-universe,Fighting,T,PS3,Midway Games,Midway Amusement Games,7.6,1.81,1.52,0.29,0.0,0.25
980,dark-souls,Role-Playing,M,PS3,Namco Bandai,From Software,9.0,1.82,0.75,0.53,0.54,0.22
983,need-for-speed-prostreet,Racing,E10,PS3,Electronic Arts,EA Black Box,7.2,1.6800000000000002,0.73,0.91,0.04,0.36
984,madden-nfl-25,Sports,E,PS3,Electronic Arts,EA Tiburon,7.5,1.6500000000000001,1.62,0.03,0.0,0.38
987,dead-or-alive-3,Fighting,T,XB,Tecmo,Team Ninja,8.3,0.0,0.0,0.0,0.0,0.0
988,pgr4-project-gotham-racing-4,Racing,E,X360,Microsoft Game Studios,Bizarre Creations,8.6,1.78,0.48,1.28,0.02,0.25
989,dance-central-2,Music,T,X360,Microsoft,Harmonix Music Systems,8.6,1.8699999999999999,1.45,0.41,0.01,0.16
990,dragon-quest-xi-echoes-of-an-elusive-age,Role-Playing,T,PS4,Square Enix,Square Enix,10.0,1.94,0.29,0.22,1.43,0.1
991,nba-2k17,Sports,E,XOne,2K Sports,Visual Concepts,8.8,1.8199999999999998,1.7,0.12,0.0,0.21
993,1080-teneighty-snowboarding,Sports,E,N64,Nintendo,Nintendo EAD,9.1,0.0,0.0,0.0,0.0,0.0
994,mario-hoops-3-on-3,Sports,E,DS,Nintendo,Square Enix,7.1,0.0,0.0,0.0,0.0,0.0
995,serious-sam-3-bfe,Shooter,M,PC,Devolver Digital,Croteam,7.0,0.0,0.0,0.0,0.0,0.0
996,rayman-raving-rabbids-tv-party,Misc,E10,Wii,Ubisoft,Ubisoft Paris,7.1,1.8,0.72,1.08,0.0,0.23
998,the-sims-3,Simulation,T,PS3,Electronic Arts,The Sims Studio,8.1,1.71,0.73,0.96,0.02,0.31
999,onimusha-warlords,Action,M,PS2,Capcom,Flagship,8.7,0.0,0.0,0.0,0.0,0.0
